timestep,site,spp,count
7,12,spp4,0
7,1,spp5,0
7,2,spp5,0
7,3,spp5,0
7,4,spp5,0
7,5,spp5,0
7,6,spp5,0
7,7,spp5,0
7,8,spp5,101
7,9,spp5,0
7,10,spp5,0
7,11,spp5,25
7,12,spp5,0
8,1,spp1,79
8,2,spp1,100
8,3,spp1,99
8,4,spp1,0
8,5,spp1,0
8,6,spp1,0
8,7,spp1,0
8,8,spp1,0
8,9,spp1,0
8,10,spp1,4
8,11,spp1,20
8,12,spp1,5
8,1,spp2,0
8,2,spp2,0
8,3,spp2,0
8,4,spp2,0
8,5,spp2,0
8,6,spp2,15
8,7,spp2,103
8,8,spp2,0
8,9,spp2,103
8,10,spp2,0
8,11,spp2,0
8,12,spp2,0
8,1,spp3,23
8,2,spp3,2
8,3,spp3,3
8,4,spp3,91
8,5,spp3,69
8,6,spp3,76
8,7,spp3,0
8,8,spp3,0
8,9,spp3,0
8,10,spp3,97
8,11,spp3,72
8,12,spp3,96
8,1,spp4,0
8,2,spp4,0
8,3,spp4,0
8,4,spp4,11
8,5,spp4,33
8,6,spp4,11
8,7,spp4,0
8,8,spp4,0
8,9,spp4,0
8,10,spp4,0
8,11,spp4,0
8,12,spp4,0
8,1,spp5,0
8,2,spp5,0
8,3,spp5,0
8,4,spp5,0
8,5,spp5,0
8,6,spp5,0
8,7,spp5,0
8,8,spp5,101
8,9,spp5,0
8,10,spp5,0
8,11,spp5,11
8,12,spp5,0
9,1,spp1,74
9,2,spp1,98
9,3,spp1,99
9,4,spp1,0
9,5,spp1,0
9,6,spp1,0
9,7,spp1,0
9,8,spp1,0
9,9,spp1,0
9,10,spp1,7
9,11,spp1,21
9,12,spp1,8
9,1,spp2,0
9,2,spp2,0
9,3,spp2,0
9,4,spp2,0
9,5,spp2,0
9,6,spp2,9
9,7,spp2,103
9,8,spp2,0
9,9,spp2,103
9,10,spp2,0
9,11,spp2,0
9,12,spp2,0
9,1,spp3,28
9,2,spp3,4
9,3,spp3,3
9,4,spp3,90
9,5,spp3,64
9,6,spp3,79
9,7,spp3,0
9,8,spp3,0
9,9,spp3,0
9,10,spp3,94
9,11,spp3,78
9,12,spp3,92
9,1,spp4,0
9,2,spp4,0
9,3,spp4,0
9,4,spp4,12
9,5,spp4,38
9,6,spp4,14
9,7,spp4,0
9,8,spp4,0
9,9,spp4,0
9,10,spp4,0
9,11,spp4,0
9,12,spp4,0
9,1,spp5,0
9,2,spp5,0
9,3,spp5,0
9,4,spp5,0
9,5,spp5,0
9,6,spp5,0
9,7,spp5,0
9,8,spp5,101
9,9,spp5,0
9,10,spp5,0
9,11,spp5,4
9,12,spp5,1
10,1,spp1,70
10,2,spp1,99
10,3,spp1,100
10,4,spp1,0
10,5,spp1,0
10,6,spp1,0
10,7,spp1,0
10,8,spp1,0
10,9,spp1,0
10,10,spp1,6
10,11,spp1,26
10,12,spp1,14
10,1,spp2,0
10,2,spp2,0
10,3,spp2,0
10,4,spp2,0
10,5,spp2,0
10,6,spp2,8
10,7,spp2,103
10,8,spp2,0
10,9,spp2,103
10,10,spp2,0
10,11,spp2,0
10,12,spp2,0
10,1,spp3,32
10,2,spp3,3
10,3,spp3,2
10,4,spp3,90
10,5,spp3,67
10,6,spp3,71
10,7,spp3,0
10,8,spp3,0
10,9,spp3,0
10,10,spp3,95
10,11,spp3,70
10,12,spp3,87
10,1,spp4,0
10,2,spp4,0
10,3,spp4,0
10,4,spp4,12
10,5,spp4,35
10,6,spp4,23
10,7,spp4,0
10,8,spp4,0
10,9,spp4,0
10,10,spp4,0
10,11,spp4,0
10,12,spp4,0
10,1,spp5,0
10,2,spp5,0
10,3,spp5,0
10,4,spp5,0
10,5,spp5,0
10,6,spp5,0
10,7,spp5,0
10,8,spp5,101
10,9,spp5,0
10,10,spp5,0
10,11,spp5,7
10,12,spp5,0
11,1,spp1,72
11,2,spp1,96
11,3,spp1,102
11,4,spp1,0
11,5,spp1,0
11,6,spp1,0
11,7,spp1,0
11,8,spp1,0
11,9,spp1,0
11,10,spp1,9
11,11,spp1,31
11,12,spp1,17
11,1,spp2,0
11,2,spp2,0
11,3,spp2,0
11,4,spp2,0
11,5,spp2,0
11,6,spp2,7
11,7,spp2,103
11,8,spp2,0
11,9,spp2,103
11,10,spp2,0
11,11,spp2,0
11,12,spp2,0
11,1,spp3,30
11,2,spp3,6
11,3,spp3,0
11,4,spp3,87
11,5,spp3,58
11,6,spp3,68
11,7,spp3,0
11,8,spp3,0
11,9,spp3,0
11,10,spp3,91
11,11,spp3,71
11,12,spp3,84
11,1,spp4,0
11,2,spp4,0
11,3,spp4,0
11,4,spp4,15
11,5,spp4,44
11,6,spp4,27
11,7,spp4,0
11,8,spp4,0
11,9,spp4,0
11,10,spp4,0
11,11,spp4,0
11,12,spp4,0
11,1,spp5,0
11,2,spp5,0
11,3,spp5,0
11,4,spp5,0
11,5,spp5,0
11,6,spp5,0
11,7,spp5,0
11,8,spp5,101
11,9,spp5,0
11,10,spp5,1
11,11,spp5,1
11,12,spp5,0
12,1,spp1,69
12,2,spp1,98
12,3,spp1,102
12,4,spp1,0
12,5,spp1,0
12,6,spp1,0
12,7,spp1,0
12,8,spp1,0
12,9,spp1,0
12,10,spp1,11
12,11,spp1,30
12,12,spp1,21
12,1,spp2,0
12,2,spp2,0
12,3,spp2,0
12,4,spp2,0
12,5,spp2,0
12,6,spp2,3
12,7,spp2,103
12,8,spp2,0
12,9,spp2,103
12,10,spp2,0
12,11,spp2,0
12,12,spp2,0
12,1,spp3,33
12,2,spp3,4
12,3,spp3,0
12,4,spp3,84
12,5,spp3,58
12,6,spp3,69
12,7,spp3,0
12,8,spp3,0
12,9,spp3,0
12,10,spp3,89
12,11,spp3,72
12,12,spp3,80
12,1,spp4,0
12,2,spp4,0
12,3,spp4,0
12,4,spp4,18
12,5,spp4,44
12,6,spp4,30
12,7,spp4,0
12,8,spp4,0
12,9,spp4,0
12,10,spp4,0
12,11,spp4,0
12,12,spp4,0
12,1,spp5,0
12,2,spp5,0
12,3,spp5,0
12,4,spp5,0
12,5,spp5,0
12,6,spp5,0
12,7,spp5,0
12,8,spp5,101
12,9,spp5,0
12,10,spp5,1
12,11,spp5,1
12,12,spp5,0
13,1,spp1,76
13,2,spp1,99
13,3,spp1,101
13,4,spp1,0
13,5,spp1,0
13,6,spp1,0
13,7,spp1,0
13,8,spp1,0
13,9,spp1,0
13,10,spp1,15
13,11,spp1,32
13,12,spp1,25
13,1,spp2,0
13,2,spp2,0
13,3,spp2,0
13,4,spp2,0
13,5,spp2,0
13,6,spp2,3
13,7,spp2,103
13,8,spp2,0
13,9,spp2,103
13,10,spp2,0
13,11,spp2,0
13,12,spp2,0
13,1,spp3,26
13,2,spp3,3
13,3,spp3,1
13,4,spp3,80
13,5,spp3,57
13,6,spp3,60
13,7,spp3,0
13,8,spp3,0
13,9,spp3,0
13,10,spp3,86
13,11,spp3,71
13,12,spp3,76
13,1,spp4,0
13,2,spp4,0
13,3,spp4,0
13,4,spp4,22
13,5,spp4,45
13,6,spp4,39
13,7,spp4,0
13,8,spp4,0
13,9,spp4,0
13,10,spp4,0
13,11,spp4,0
13,12,spp4,0
13,1,spp5,0
13,2,spp5,0
13,3,spp5,0
13,4,spp5,0
13,5,spp5,0
13,6,spp5,0
13,7,spp5,0
13,8,spp5,101
13,9,spp5,0
