timestep,site,spp,count
8,4,spp4,28
8,5,spp4,47
8,6,spp4,29
8,7,spp4,9
8,8,spp4,9
8,9,spp4,7
8,10,spp4,6
8,11,spp4,14
8,12,spp4,4
8,1,spp5,39
8,2,spp5,36
8,3,spp5,46
8,4,spp5,21
8,5,spp5,27
8,6,spp5,21
8,7,spp5,16
8,8,spp5,9
8,9,spp5,15
8,10,spp5,37
8,11,spp5,32
8,12,spp5,40
9,1,spp1,21
9,2,spp1,16
9,3,spp1,42
9,4,spp1,44
9,5,spp1,28
9,6,spp1,32
9,7,spp1,48
9,8,spp1,45
9,9,spp1,32
9,10,spp1,14
9,11,spp1,15
9,12,spp1,13
9,1,spp2,15
9,2,spp2,6
9,3,spp2,6
9,4,spp2,4
9,5,spp2,5
9,6,spp2,22
9,7,spp2,31
9,8,spp2,32
9,9,spp2,43
9,10,spp2,43
9,11,spp2,36
9,12,spp2,38
9,1,spp3,1
9,2,spp3,4
9,3,spp3,3
9,4,spp3,7
9,5,spp3,1
9,6,spp3,1
9,7,spp3,1
9,8,spp3,1
9,9,spp3,5
9,10,spp3,1
9,11,spp3,1
9,12,spp3,1
9,1,spp4,24
9,2,spp4,32
9,3,spp4,5
9,4,spp4,23
9,5,spp4,40
9,6,spp4,30
9,7,spp4,6
9,8,spp4,12
9,9,spp4,8
9,10,spp4,8
9,11,spp4,12
9,12,spp4,7
9,1,spp5,40
9,2,spp5,45
9,3,spp5,45
9,4,spp5,24
9,5,spp5,28
9,6,spp5,17
9,7,spp5,16
9,8,spp5,12
9,9,spp5,14
9,10,spp5,37
9,11,spp5,37
9,12,spp5,44
10,1,spp1,22
10,2,spp1,20
10,3,spp1,35
10,4,spp1,39
10,5,spp1,26
10,6,spp1,23
10,7,spp1,42
10,8,spp1,42
10,9,spp1,27
10,10,spp1,16
10,11,spp1,22
10,12,spp1,13
10,1,spp2,18
10,2,spp2,11
10,3,spp2,12
10,4,spp2,6
10,5,spp2,4
10,6,spp2,13
10,7,spp2,39
10,8,spp2,33
10,9,spp2,41
10,10,spp2,50
10,11,spp2,32
10,12,spp2,31
10,1,spp3,0
10,2,spp3,3
10,3,spp3,1
10,4,spp3,5
10,5,spp3,0
10,6,spp3,0
10,7,spp3,0
10,8,spp3,2
10,9,spp3,6
10,10,spp3,1
10,11,spp3,3
10,12,spp3,2
10,1,spp4,23
10,2,spp4,24
10,3,spp4,5
10,4,spp4,26
10,5,spp4,43
10,6,spp4,35
10,7,spp4,5
10,8,spp4,8
10,9,spp4,9
10,10,spp4,5
10,11,spp4,13
10,12,spp4,12
10,1,spp5,38
10,2,spp5,45
10,3,spp5,48
10,4,spp5,26
10,5,spp5,29
10,6,spp5,31
10,7,spp5,16
10,8,spp5,17
10,9,spp5,19
10,10,spp5,31
10,11,spp5,31
10,12,spp5,45
11,1,spp1,31
11,2,spp1,22
11,3,spp1,29
11,4,spp1,36
11,5,spp1,36
11,6,spp1,23
11,7,spp1,47
11,8,spp1,42
11,9,spp1,25
11,10,spp1,18
11,11,spp1,16
11,12,spp1,11
11,1,spp2,16
11,2,spp2,12
11,3,spp2,17
11,4,spp2,12
11,5,spp2,6
11,6,spp2,16
11,7,spp2,32
11,8,spp2,33
11,9,spp2,35
11,10,spp2,45
11,11,spp2,26
11,12,spp2,31
11,1,spp3,0
11,2,spp3,6
11,3,spp3,0
11,4,spp3,3
11,5,spp3,1
11,6,spp3,0
11,7,spp3,1
11,8,spp3,2
11,9,spp3,8
